pais;departamento;municipio;comunidad
Ecuador;Sucumbios;Shushufindi;Comunidad San Roque
Ecuador;Esmeraldas;Quininde;Zapotalito
Ecuador;Orellana;Loreto;Calmito Yacu
Ecuador;Sucumbios;Shushufindi;Yana Allpa
Ecuador;Morona Santiago;Huamboya;Chuwints
Ecuador;Orellana;Loreto;Comuna El Inca
Ecuador;Sucumbios;Cascales;Jesús del Gran Poder
Ecuador;Esmeraldas;Quininde;Agua Clara
Ecuador;Orellana;Orellana;Nueva Providencia
Ecuador;Sucumbios;Shushufindi;Unión Amazónica
Ecuador;Esmeraldas;Quininde;Libertad Lojana
Ecuador;Sucumbios;Cascales;Reserva Sán José de Dumbiki
Ecuador;Sucumbios;Shushufindi;Asocicación San Roque
Ecuador;Orellana;Orellana;Añangu
Ecuador;Napo;Archidona;Papauco
Ecuador;Esmeraldas;Quininde;Progreso Río Canande
Ecuador;Morona Santiago;Morona;Numpain
Ecuador;Esmeraldas;Quininde;Achicube Bajo
Ecuador;Pastaza;Pastaza;Asociación Sharup
Ecuador;Morona Santiago;Logroño;Santiago Tukup
Ecuador;Sucumbios;Shushufindi;Comuna Tereré
Ecuador;Esmeraldas;san;Los Sengues del Dogola
Ecuador;Pastaza;Pastaza;San José
Ecuador;Orellana;Loreto;Carashino
Ecuador;Esmeraldas;Quininde;El Botado
Ecuador;Esmeraldas;Quininde;Barbudalito
Ecuador;Esmeraldas;Quininde;Nueva Esperanza
Ecuador;Sucumbios;Cascales;Pastaza (Ishkay-Kuchay)
Ecuador;Esmeraldas;Quininde;Chorrera Grande
Ecuador;Esmeraldas;Quininde;Boca de Zabaleta
Ecuador;Esmeraldas;Quininde;Tachina Cabecera
Ecuador;Napo;Archidona;Pucuno Chico
Ecuador;Morona Santiago;Morona;Pankings
Ecuador;Morona Santiago;Palora;Otto Arosemena 1
Ecuador;Sucumbios;Cascales;El Arenal
Ecuador;Sucumbios;Shushufindi;Vencedores
Ecuador;Sucumbios;Cascales;Papayu
Ecuador;Napo;Archidona;San Bernardo
Ecuador;Esmeraldas;Quininde;Sabaletita
Ecuador;Esmeraldas;Quininde;Barbudal No. 1
Ecuador;Sucumbios;Cascales;Sharup
Ecuador;Pastaza;Pastaza;Kawa
Ecuador;Napo;Archidona;San Vicente de Parayacu
Ecuador;Esmeraldas;Quininde;La Merced
Ecuador;Morona Santiago;Huamboya;Kayamentza
Ecuador;Orellana;Loreto;Cotapino
Ecuador;Orellana;Loreto;Avila Viejo
Ecuador;Orellana;Loreto;Nueva Esperanza
Ecuador;Napo;Archidona;La Libertad
Ecuador;Esmeraldas;Quininde;Valle de Tulicio
Ecuador;Esmeraldas;Quininde;La Flor de la Chile
Ecuador;Esmeraldas;Quininde;Primero de Mayo
Ecuador;Orellana;Loreto;Jandia Yacu
Ecuador;Napo;Archidona;Pava Yacu
Ecuador;Pastaza;Pastaza;Timias (Asociación Shuar Don Bosco)
Ecuador;Esmeraldas;Quininde;La Guinea
Ecuador;Esmeraldas;Quininde;Campamento Nueva Vida
